CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
LEAA851018,750650176,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA851029,750650383,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA85103A,750340173,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
LEAA85104B,750340385,True,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA85301X,750680178,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA853021,750680179,True,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA853043,750690182,True,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA85401Q,750730104,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA85402R,750730105,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA85501G,750760081,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA85502L,750800581,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA85503N,750940226,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
LEAA85602C,750930223,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,3.2
LEAA85603D,750930579,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,3.2
LEAA85604E,750170222,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA857017,750630264,True,False,True,True,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.4
LEAA857039,750630031,True,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA85704A,750630032,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,4.8
LEAA85705B,750630265,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,5.2
LEAA85901V,750040028,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,6.0
LEAA85902X,750040031,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,3.2
LEAA85902X,750040029,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,3.6
LEAA859031,750040030,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,2.8
LEAA860013,750160049,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,6.4
LEAA860024,750160045,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,4.8
LEAA86102X,750162217,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA861031,750162217,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,4.0
LEAA86302G,750160047,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,4.4
LEAA86303L,750160276,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,4.8
LEAA86304N,750160468,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
LEAA86401A,750220065,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA86402B,750220063,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA865016,750220067,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
LEAA86701T,750220064,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
LEAA86703X,750221098,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
LEAA86801N,750870205,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
LEAA86802P,750870569,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
LEAA86803Q,750870204,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
LEAA86901D,750870202,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
LEAA86902E,750870203,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
LEAA87001N,750790187,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
LEAA87002P,750790190,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
LEAA87003Q,750790189,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
