CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
GEAA859012,100250050,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
GEAA859023,100250051,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEAA859034,100250049,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,3.2
GEAA860016,100250110,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
GEAA860027,100250027,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
GEAA86201T,100250108,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
GEAA86202V,100250021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
GEAA86203X,100250005,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GEAA862041,100250109,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEAA86301N,100250039,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
GEAA86302P,100250040,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
GEAA865019,100150414,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
GEAA86502A,100150081,True,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
GEAA866015,100460088,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEAA867011,100150083,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GEAA867011,100150084,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GEAA867022,100150082,True,False,True,False,False,True,False,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
GEAA867033,100290083,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GECT70000E,100250189,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GECT70100A,100250022,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
GECT702006,100250147,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
GECT703002,100250309,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GECT70400T,100250757,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
GECT70500N,100250312,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GECT70600D,100180254,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8
GEEE02200L,100250824,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
GEEE02201N,100250824,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
GEEE804013,100580283,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
GEEE804024,100550286,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
GEEE804035,100550287,True,False,True,True,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
GEEE804057,100580290,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
GEEE80501V,100480204,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,4.4
GEEE80502X,100560073,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0
GEEE805031,100050200,True,False,True,True,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
GEEE805042,100340600,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
GEEE805053,100100255,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
GEEE80601P,100540281,True,False,True,False,False,True,True,True,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8
GEEE80602Q,100540408,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
GEEE80603R,100540282,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
GEEE80701E,100250004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEEE80702G,100251004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEEE80801A,100250020,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
GEEE80802B,100250019,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEEE809016,100250030,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
GEEE81001A,100110221,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
GEEE81002B,100130079,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,5.6
GEEE81003C,100370222,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
GEEE811016,100250800,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEEE812012,100250128,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,3.2
GEEE812023,100250465,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.8
