CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VAAA87301X,121330002,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VAAA873021,120210001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
VAAA873032,121330001,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VAAA87401Q,121330003,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VAAA87501G,120700031,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VAAA87502L,120700185,True,False,False,True,False,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VAAA87601B,120700187,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,3.6
VAAA87602C,120700033,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VAAA877017,120700034,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VAAA877028,120700036,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,3.6
VAAA877039,120700190,True,False,False,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VAAA878013,120700368,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0
VAAA878024,120700035,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
VAAA878035,120700037,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
VAAA87901V,121200052,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VAAA87902X,121200053,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VAAA879031,121200054,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,3.6
VAAA879042,121010887,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VAAA880013,121160010,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VACT700006,120260017,True,False,False,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VACT701002,121190851,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
VACT70200T,121330677,True,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
VACT70300N,120400349,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0
