NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
"I.C. ""FRANCA ONGARO""",VENEZIA,VEAA840013,VIA BUONO DA MALAMOCCO,45.3694323,12.3377451,http://http//www.scuolelidopellestrina.gov.it/,SCUOLA INFANZIA,VEIC840006,30010
I.C. ILARIA ALPI,VENEZIA,VEEE834033,VIA MONTE CERVINO ,43.876442600000004,12.805766499999999,http://www.icilariaalpifavaro.it,SCUOLA PRIMARIA,VEIC83400V,30173
M.POLO-LICEO ARTISTICO,VENEZIA,VEPC02401Q,DORSODURO 1073,45.43313225,12.3190338289206,http://www.las.provincia.venezia.it,LICEO CLASSICO,VEIS02400C,30123
M.POLO-LICEO ARTISTICO,VENEZIA,VEIS02400C,DORSODURO 1073,45.43313225,12.3190338289206,http://www.itisdavinci.it,ISTITUTO SUPERIORE,VEIS02400C,30123
SAN GIROLAMO,VENEZIA,VEMM84201V,CANNAREGIO 476,45.4438292,12.327037751593599,http://www.icsangirolamo.it,SCUOLA PRIMO GRADO,VEIC84200T,30121
UGO MORIN,VENEZIA,VEPS05000A,VIA ASSEGGIANO ,45.50029075,12.171889521836901,http://www.liceomorin.net,LICEO SCIENTIFICO,VEPS05000A,30174
CRISTOFORO COLOMBO,VENEZIA,VEAA84701T,VIA IVANCICH ,45.4887338,12.199051400000002,http://www.comprensivocolombo.gov.it,SCUOLA INFANZIA,VEIC847001,30174
M.POLO-LICEO ARTISTICO,VENEZIA,VESL024515,DORSODURO 1012,45.43313225,12.3190338289206,http://www.iismarcopololiceoartisticovenezia.gov.it,LICEO ARTISTICO,VEIS02400C,30100
CRISTOFORO COLOMBO,VENEZIA,VEAA84702V,VIA PERLAN ,45.4919594,12.212009599999998,http://www.comprensivocolombo.gov.it,SCUOLA INFANZIA,VEIC847001,30174
I.I.S. BRUNO-FRANCHETTI,VENEZIA,VEIS02300L,VIA BAGLIONI ,43.1097773,12.38923,http://www.itisdavinci.it,ISTITUTO SUPERIORE,VEIS02300L,30173
I.I.S. BRUNO-FRANCHETTI,VENEZIA,VEPS023013,VIA BAGLIONI ,43.1097773,12.38923,http://istitutobrunofranchetti.gov.it,LICEO SCIENTIFICO,VEIS02300L,30173
CRISTOFORO COLOMBO,VENEZIA,VEMM847012,VIA DELL'EDERA 33,45.482833500000005,12.1925419,http://www.comprensivocolombo.gov.it,SCUOLA PRIMO GRADO,VEIC847001,30174
CRISTOFORO COLOMBO,VENEZIA,VEIC847001,VIA BOSSO ,45.48099620000001,12.198472,,ISTITUTO COMPRENSIVO,VEIC847001,30174
I.C. ILARIA ALPI,VENEZIA,VEEE834022,VIA TRIESTINA 0,45.511578,12.3413905,http://www.icilariaalpifavaro.it,SCUOLA PRIMARIA,VEIC83400V,30173
GIULIO CESARE PAROLARI,VENEZIA,VEEE82703X,VIA VICENTINO ,45.527203,12.1919325,http://www.icparolari.gov.it,SCUOLA PRIMARIA,VEIC82700Q,30174
