CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI
AGEE83601R,840231139,True,True,False,True,True
AGEE83602T,840231138,True,False,False,False,True
AGEE83603V,840231140,True,True,False,False,True
AGEE83802D,840274810,True,True,False,True,True
AGEE83803E,840274822,True,False,False,False,False
AGEE83804G,840274824,True,False,False,False,False
AGEE84001C,840282290,True,False,False,False,False
AGEE84002D,840282294,True,False,False,True,False
AGEE84002D,840282295,True,False,False,False,False
AGEE841018,840314790,True,False,False,False,False
AGEE841018,840314791,False,False,False,True,False
AGEE841029,840314547,True,False,False,False,True
AGEE84301X,840330605,True,False,False,True,False
AGEE84401Q,840414335,True,False,False,True,False
AGEE84402R,840413408,True,False,False,False,False
AGEE84403T,840413403,True,False,False,False,False
AGEE84501G,840414358,True,True,False,False,True
AGEE84602C,840031381,True,True,False,False,True
AGEE84603D,840031389,True,False,False,False,True
AGEE84603D,840031387,True,False,False,True,False
AGEE84603D,840031393,False,False,False,True,False
AGEE84603D,840031383,True,False,False,False,False
AGEE84604E,840031383,True,False,False,False,False
AGEE84704A,840274819,True,False,False,False,False
AGEE84704A,840274821,False,False,False,False,True
AGEE84705B,840274823,True,True,True,False,True
AGEE848013,840211132,True,False,False,False,True
AGEE848046,840211122,True,True,False,True,True
AGEE84901V,840211127,True,False,False,False,False
AGEE84902X,840211123,True,True,False,True,True
AGEE850013,840274797,True,False,True,True,True
AGEE850013,840274799,True,False,False,False,False
AGEE850013,840274798,False,False,False,True,False
AGEE850024,840274825,True,False,False,False,False
AGEE85101V,840291076,True,False,False,True,False
AGEE85101V,840291074,True,False,False,False,False
AGEE85101V,840291075,True,False,False,False,False
AGEE85102X,840291078,True,False,False,False,False
AGEE85201P,840123230,True,False,False,False,True
AGEE85202Q,840123228,True,False,False,False,False
AGEE85301E,840261163,True,False,False,False,True
AGEE85302G,840081047,True,True,False,True,False
AGEE85401A,840302759,True,False,False,False,True
AGEE85401A,840302760,True,True,False,True,True
AGEE85402B,840191108,True,False,False,True,False
AGEE85403C,840302760,True,True,False,True,True
AGEE855016,840010093,True,False,False,True,False
AGEE855027,840010097,True,False,False,False,False
AGEE855038,840010095,True,False,False,False,False
AGEE855049,840010092,True,False,False,False,False
AGEE856012,840330601,True,False,False,False,True
AGEE856023,840330602,True,False,True,True,True
AGEE85701T,840330598,True,False,False,False,True
AGEE85801N,840174154,True,False,False,True,True
AGEE85801N,840174170,False,False,False,True,False
AGEE85804R,840174150,True,False,False,True,False
AGEE85901D,840174175,False,False,False,True,False
AGEE85901D,840174157,True,True,False,True,True
AGEE86101D,840174143,True,False,False,False,True
AGEE86101D,840174144,False,False,False,True,False
AGEE86102E,840174152,True,False,False,False,True
AGEE863015,840302756,True,False,False,True,True
AGEE863026,840371164,True,False,True,True,True
AGEE864011,840282297,True,False,False,True,True
AGEE864022,840282302,False,False,False,True,False
AGEE864022,840282300,True,False,False,True,False
AGIC805003,840302758,True,False,False,True,True
AGIC80700P,840143937,True,True,False,False,True
AGIC81000E,840204786,True,False,False,True,True
AGIC812006,840023124,True,False,False,False,True
AGIC813002,840401143,True,False,False,False,True
AGIC81500N,840111097,True,False,False,False,True
AGIC817009,840341119,True,False,False,True,True
AGIC818005,840361151,True,False,False,False,False
AGIC819001,840321043,True,True,False,False,True
AGIC820005,840010025,False,False,False,False,True
AGIC821001,840010032,True,False,False,False,True
AGIC82200R,840010042,True,True,False,True,True
AGIC82300L,840010003,True,False,False,False,True
AGIC82400C,840010071,True,True,False,True,False
AGIC82700X,840091061,True,True,False,False,True
AGIC82800Q,840100612,True,True,False,False,True
AGIC82900G,840111104,True,False,False,False,True
AGIC83000Q,840111095,True,False,False,False,True
AGIC83100G,840174160,True,True,False,True,True
AGIC83200B,840181531,True,False,False,False,True
AGIC833007,840211124,True,True,False,False,True
AGIC834003,840211129,True,True,False,True,True
AGIC83600P,840231135,True,False,False,False,True
AGIC83800A,840274810,True,True,False,True,True
AGIC84000A,840282290,True,False,False,False,False
AGIC841006,840314556,True,False,False,True,False
AGIC84300T,840330603,True,False,False,True,True
AGIC84400N,840413408,True,False,False,False,False
AGIC84500D,840414358,True,True,False,False,True
AGIC846009,840031381,True,True,False,False,True
AGIC847005,840274800,True,False,True,True,True
AGIC848001,840211132,True,False,False,False,True
AGIC84900R,840211126,True,False,False,False,True
AGIC850001,840274844,True,True,False,True,True
AGIC85100R,840291071,True,False,False,False,False
AGIC85200L,840123230,True,False,False,False,True
AGIC85300C,840261163,True,False,False,False,True
AGIC854008,840302760,True,True,False,True,True
AGIC855004,840010090,True,False,False,False,True
AGIC85600X,840330601,True,False,False,False,True
AGIC85700Q,840330598,True,False,False,False,True
AGIC85800G,840174154,True,False,False,True,True
AGIC85900B,840174157,True,True,False,True,True
AGIC86100B,840174143,True,False,False,False,True
AGIC863003,840302756,True,False,False,True,True
AGIC86400V,840282298,True,False,False,True,True
AGIS00100X,840110785,True,False,False,True,True
AGIS00200Q,840120683,True,False,False,False,True
AGIS00800P,840411635,True,True,False,True,True
AGIS01100E,840211777,True,True,False,False,True
AGIS01100E,840211783,True,False,False,True,True
AGIS01200A,840410730,True,False,False,False,True
AGIS013006,840211778,True,True,False,True,True
AGIS014002,840010662,True,False,False,False,True
AGIS014002,840011615,True,True,False,False,False
AGIS01600N,840411618,True,True,False,True,True
AGIS01700D,840041597,True,True,False,True,True
AGIS01700D,840041602,True,True,False,False,True
AGIS018009,840311370,True,False,False,False,True
AGIS018009,840311396,True,False,False,False,False
AGIS018009,840311373,True,False,False,False,False
AGIS021005,840331023,True,False,False,False,True
AGIS022001,840270510,True,True,False,False,True
AGIS02300R,840010547,True,False,False,False,True
AGIS02400L,840031391,True,True,False,True,True
AGIS026008,840090751,True,True,False,False,True
AGIS027004,840111424,True,False,False,False,True
AGMM054009,840414279,True,False,False,True,True
AGMM083009,840010547,True,False,False,False,True
AGMM805014,840351110,True,False,False,True,True
AGMM805025,840393426,True,True,False,True,False
AGMM805036,840302758,True,False,False,True,True
AGMM80701Q,840143937,True,True,False,False,True
AGMM80702R,840243349,True,True,False,False,True
AGMM80801G,840383346,True,True,True,True,True
AGMM80802L,840254458,True,False,False,False,True
AGMM81001G,840204786,True,False,False,True,True
AGMM81001G,840204909,True,False,False,False,False
AGMM81002L,840204910,True,False,False,True,True
AGMM812017,840023121,True,False,False,True,False
AGMM812028,840151900,True,False,True,False,False
AGMM812028,840151899,False,False,False,True,False
AGMM812039,840041267,False,False,False,True,False
AGMM812039,840041068,True,False,False,False,False
AGMM813013,840401143,True,False,False,False,True
AGMM813013,840401144,True,False,False,False,False
AGMM81501P,840131053,False,False,False,True,False
AGMM81501P,840131051,True,False,False,False,True
AGMM81504T,840111097,True,False,False,False,True
AGMM81701A,840341118,True,False,False,False,False
AGMM81701A,840341119,True,False,False,True,True
AGMM818016,840361145,True,True,False,True,True
AGMM819012,840421155,True,False,False,True,True
AGMM819023,840321046,False,True,False,False,False
AGMM819023,840321044,False,False,False,True,False
AGMM819023,840321043,True,True,False,False,True
AGMM820016,840010024,True,False,False,False,True
AGMM820016,840010026,False,False,False,True,False
AGMM820016,840010028,True,False,False,False,False
AGMM821012,840010033,False,False,False,True,False
AGMM821012,840011411,True,True,False,False,True
AGMM821012,840010032,True,False,False,False,True
AGMM82201T,840010041,True,False,False,False,False
AGMM82201T,840010043,False,False,False,True,False
AGMM82301N,840010003,True,False,False,False,True
AGMM82401D,840010071,True,True,False,True,False
AGMM82401D,840010006,True,False,False,False,True
AGMM826015,840054834,True,True,False,False,True
AGMM826015,840054850,False,False,False,True,False
AGMM826026,840221891,True,False,False,True,False
AGMM826048,840071169,True,True,False,True,True
AGMM826048,840071167,True,False,False,False,False
AGMM827011,840091061,True,True,False,False,True
AGMM827011,840091062,False,False,False,True,False
AGMM82801R,840100613,True,False,False,True,True
AGMM82801R,840100614,False,False,False,True,False
AGMM82801R,840100619,True,False,False,False,False
AGMM82901L,840111104,True,False,False,False,True
AGMM83001R,840111095,True,False,False,False,True
AGMM83101L,840174155,True,False,False,False,False
AGMM83101L,840174160,True,True,False,True,True
AGMM83201C,840181529,True,False,False,False,True
AGMM833018,840211137,False,False,False,True,False
AGMM833018,840211124,True,True,False,False,True
AGMM834014,840211129,True,True,False,True,True
AGMM834014,840211135,False,False,False,True,False
AGMM834014,840211136,True,False,True,False,False
AGMM83601Q,840231150,True,False,False,False,False
AGMM83601Q,840231135,True,False,False,False,True
AGMM83801B,840274810,True,True,False,True,True
AGMM84001B,840282292,True,False,False,True,True
AGMM84001B,840282291,False,False,False,True,False
AGMM841017,840314556,True,False,False,True,False
AGMM84301V,840330603,True,False,False,True,True
AGMM84401P,840414497,True,False,False,True,True
AGMM84501E,840414357,False,False,False,True,False
AGMM84501E,840414358,True,True,False,False,True
AGMM84601A,840031387,True,False,False,True,False
AGMM84601A,840031388,True,False,False,False,True
AGMM84601A,840031393,False,False,False,True,False
AGMM847016,840274800,True,False,True,True,True
AGMM848012,840211134,True,False,False,True,True
AGMM84901T,840211138,False,False,False,True,False
AGMM84901T,840211126,True,False,False,False,True
AGMM850012,840274844,True,True,False,True,True
AGMM85101T,840291073,False,False,False,True,False
AGMM85101T,840291071,True,False,False,False,False
AGMM85201N,840123323,True,True,False,True,True
AGMM85301D,840261161,False,False,False,True,False
AGMM85301D,840261156,True,False,False,False,True
AGMM85302E,840081047,True,True,False,True,False
AGMM855015,840010100,True,False,False,False,False
AGMM855015,840010091,False,False,False,True,False
AGMM855015,840010090,True,False,False,False,True
AGMM85701R,840330599,True,False,False,True,True
AGMM85701R,840330604,True,False,False,True,False
AGMM85801L,840174170,False,False,False,True,False
AGMM85801L,840174154,True,False,False,True,True
AGMM85801L,840174151,True,False,False,True,True
AGMM85901C,840174175,False,False,False,True,False
AGMM85901C,840174157,True,True,False,True,True
AGMM86101C,840174144,False,False,False,True,False
AGMM86101C,840174143,True,False,False,False,True
AGMM863014,840371164,True,False,True,True,True
AGMM86401X,840282298,True,False,False,True,True
AGMM86401X,840282299,False,False,False,True,False
AGPC001017,840110785,True,False,False,True,True
AGPC008012,840411635,True,True,False,True,True
AGPC010001,840010666,True,False,False,True,True
AGPC010001,840011700,True,False,False,False,False
AGPC01701R,840041602,True,True,False,False,True
AGPC01701R,840041597,True,True,False,True,True
AGPC060002,840211620,True,False,False,False,False
AGPC060002,840211622,False,False,False,True,False
AGPC060002,840211133,True,False,False,False,False
AGPC060002,840211118,True,False,False,False,False
AGPC060002,840211619,True,True,False,False,True
AGPM002017,840401779,True,True,False,True,True
AGPM00250G,840401779,True,True,False,True,True
AGPM01801R,840311370,True,False,False,False,True
AGPM01801R,840311373,True,False,False,False,False
AGPM01801R,840311396,True,False,False,False,False
AGPM02000Q,840170714,False,False,False,True,False
AGPM02000Q,840170713,True,True,False,False,True
AGPM02101L,840331020,True,False,False,True,False
AGPM02101L,840331021,True,False,False,True,False
AGPM02101L,840331022,True,False,False,False,False
AGPM02101L,840331019,True,False,False,False,True
AGPM02101L,840331023,True,False,False,False,True
AGPM03000A,840011411,True,True,False,False,True
AGPM03000A,840011614,False,False,False,True,False
AGPM03000A,840010662,True,False,False,False,True
AGPS00101A,840111578,True,False,False,False,True
AGPS00101A,840111577,True,False,False,False,True
AGPS00101A,840111802,True,True,False,False,False
AGPS002016,840120683,True,False,False,False,True
AGPS002016,840120684,False,False,False,True,False
AGPS002027,840090731,True,True,False,False,True
AGPS002027,840090732,False,False,False,True,False
AGPS008015,840231250,True,False,False,False,True
AGPS02000P,840411668,True,False,False,False,True
AGPS02000P,840411667,True,False,False,True,False
AGPS02000P,840411618,True,True,False,True,True
AGPS02201B,840271380,True,False,False,False,True
AGPS02201B,840271347,False,False,False,True,False
AGPS02201B,840270510,True,True,False,False,True
AGPS030009,840011540,True,True,False,False,True
AGPS030009,840011421,True,False,False,False,True
AGPS030009,840011541,True,False,False,False,False
AGPS060005,840011227,True,False,False,False,True
AGPS060005,840010860,True,False,False,True,True
AGPS08000A,840201782,True,True,False,True,True
AGRA027014,840111424,True,False,False,False,True
AGRC01601L,840231260,True,False,False,False,False
AGRC01602N,840411618,True,True,False,True,True
AGRC02301Q,840010547,True,False,False,False,True
AGRC02301Q,840010661,False,True,False,False,False
AGRH01201E,840410730,True,False,False,False,True
AGRH01201E,840414610,False,False,False,True,False
AGRH01201E,840411781,True,False,False,False,False
AGRH01201E,840414611,False,True,False,False,False
AGRH01250V,840410730,True,False,False,False,True
AGRH01301A,840211778,True,True,False,True,True
AGRH02000C,840171339,True,False,False,True,True
AGRH02000C,840171780,True,True,False,False,True
AGRH02050T,840171339,True,False,False,True,True
AGRI011016,840211777,True,True,False,False,True
AGRI016019,840411636,True,True,False,True,True
AGRI016019,840411025,True,False,False,False,False
AGRI017015,840041603,False,False,False,True,False
AGRI017015,840041602,True,True,False,False,True
AGRI017026,840151257,True,False,False,False,True
AGRI01750D,840151257,True,False,False,False,True
AGRI02101R,840331602,True,False,False,False,True
AGRI02201L,840270510,True,True,False,False,True
AGRI024018,840031391,True,True,False,True,True
AGRI024029,840171780,True,True,False,False,True
AGRI02403A,840290503,True,True,False,False,True
AGRI02452P,840171780,True,True,False,False,True
AGRI026021,840120659,True,False,False,False,True
AGRI02701Q,840111590,True,False,False,False,True
AGSD00801G,840411629,True,False,False,False,True
AGSD00801G,840411628,False,False,False,True,False
AGTA012016,840410730,True,False,False,False,True
AGTA012016,840414610,False,False,False,True,False
AGTA012016,840414611,False,True,False,False,False
AGTD01301C,840211778,True,True,False,True,True
AGTD01351T,840211778,True,True,False,True,True
AGTD014018,840011614,False,False,False,True,False
AGTD014018,840010662,True,False,False,False,True
AGTD014018,840011615,True,True,False,False,False
AGTD01601X,840411605,True,False,False,True,True
AGTD016519,840411605,True,False,False,True,True
AGTD01701Q,840041603,False,False,False,True,False
AGTD01701Q,840041602,True,True,False,False,True
AGTD01801G,840100504,True,False,False,False,True
AGTD02101B,840330697,True,False,False,False,False
AGTD02101B,840330698,True,False,False,False,False
AGTD02101B,840330700,True,False,False,False,False
AGTD02101B,840330696,True,True,False,True,True
AGTD02101B,840330699,True,False,False,False,False
AGTD02151R,840330700,True,False,False,False,False
AGTD02151R,840330697,True,False,False,False,False
AGTD02151R,840330696,True,True,False,True,True
AGTD02151R,840330698,True,False,False,False,False
AGTD02151R,840330699,True,False,False,False,False
AGTD02701A,840111431,True,False,False,True,False
AGTD02701A,840111424,True,False,False,False,True
AGTD02702B,840260501,True,True,False,True,True
AGTD09000R,840011407,False,False,False,True,False
AGTD09000R,840011406,True,True,False,False,True
AGTD09001T,840281686,True,True,False,False,True
AGTD09001T,840281681,False,False,False,True,False
AGTD090506,840281686,True,True,False,False,True
AGTF02201D,840271380,True,False,False,False,True
AGTF023019,840281681,False,False,False,True,False
AGTF023019,840281686,True,True,False,False,True
AGTF024015,840031391,True,True,False,True,True
AGTF02601R,840090751,True,True,False,False,True
AGTF02601R,840360752,True,False,False,False,True
AGTL011017,840211783,True,False,False,True,True
AGTL01401P,840010547,True,False,False,False,True
AGTL01401P,840010667,False,False,False,True,False
AGVC05000P,840411781,True,False,False,False,False
ALAA007017,60030019,True,False,True,True,True
ALAA007039,60030020,True,False,True,False,False
ALAA00704A,60030045,True,True,True,True,False
ALAA037013,60130001,True,False,True,False,False
ALAA037024,61770002,True,False,False,False,False
ALAA037035,61770005,True,False,False,True,True
ALAA037046,61280002,True,False,False,False,False
ALAA037057,61770009,True,False,False,True,True
ALAA80601A,60220001,True,False,True,False,False
ALAA80602B,61900001,True,False,True,True,False
ALAA80603C,60290002,False,False,True,False,False
ALAA807016,61600003,True,False,False,False,False
ALAA807027,61670002,True,False,True,False,False
ALAA808012,61690001,True,False,True,True,False
ALAA808023,60950001,True,False,True,True,True
ALAA808034,60440001,True,False,True,False,False
ALAA808045,60490002,True,False,True,False,False
ALAA808056,60630001,True,False,True,False,False
ALAA808067,61470001,True,False,True,True,False
ALAA808078,61620002,True,False,True,True,False
ALAA80901T,61440002,True,False,True,False,False
ALAA80902V,60430002,True,False,True,False,False
ALAA80903X,61680002,True,False,True,True,False
ALAA810012,60170001,True,False,True,False,False
ALAA810023,61060001,True,False,True,False,False
ALAA810045,61650002,True,False,False,True,True
ALAA810056,60920001,True,False,True,False,False
ALAA810067,60360001,True,False,True,True,False
ALAA81101T,60590001,True,False,True,False,True
ALAA81102V,61130004,True,False,True,False,True
ALAA81103X,60770001,True,False,True,True,False
ALAA811041,61330001,True,False,True,False,False
ALAA81201N,61810003,True,False,True,False,True
ALAA81203Q,60830002,False,False,True,False,False
ALAA81204R,61550001,True,False,True,True,False
ALAA81205T,60790001,True,False,True,False,False
ALAA81301D,60090002,True,False,True,True,True
ALAA81302E,61480001,True,False,True,True,False
ALAA815015,60780001,True,False,True,False,False
ALAA815026,60030033,True,False,True,False,False
ALAA815037,60030021,True,False,True,True,True
ALAA815048,60030018,True,True,True,True,True
ALAA816011,60470003,True,False,True,True,True
ALAA816022,60150001,True,False,False,False,False
ALAA816033,60210002,True,False,True,True,True
ALAA816044,61400004,True,False,True,True,False
ALAA816055,61610001,True,False,True,False,False
ALAA816066,60750002,True,False,True,False,False
ALAA81701R,60030042,True,False,True,True,True
ALAA81702T,60030038,True,False,True,False,False
ALAA81703V,60030026,True,False,True,True,True
ALAA81801L,60680003,True,False,True,False,False
ALAA81802N,60760002,True,False,True,False,False
ALAA81803P,60910001,True,False,True,True,False
ALAA81804Q,61630002,True,False,True,False,False
ALAA81805R,61410001,True,False,True,True,False
ALAA81806T,61420001,True,False,True,True,False
ALAA81901C,60530001,True,False,True,False,False
ALAA81902D,61510003,True,False,False,False,False
ALAA81903E,60960002,True,False,False,False,False
ALAA81904G,60060001,False,False,True,False,False
ALAA81905L,60870001,True,False,False,False,False
ALAA81906N,61320001,True,False,True,True,False
ALAA82102D,61210009,True,False,True,False,False
ALAA82103E,61210001,True,False,True,True,True
ALAA822018,61730003,False,False,False,True,False
