CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VERI00401V,270423814,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VERI01301N,270293856,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VERI02101L,270153877,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VERI02102N,270363878,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VERI02701G,270243831,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VERM00801N,270423824,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VESD020001,270423810,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VESD020001,270423822,True,True,False,False,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VESD020001,270423817,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,3.2
VESD020001,270423812,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VESD020001,270423811,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VESL02401Q,270423849,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
VESL02401Q,270423838,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
VESL024515,270423849,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
VETA02801G,270243832,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VETD00401D,270423866,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VETD01201C,270293857,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VETD01601Q,270423823,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VETD01801B,270423821,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VETD01801B,270423818,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VETD022013,270083859,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
