IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS,ANDATA
986,5136,45.441829999999996,12.325078999999999,Riva de Biasio DX,84,True
986,5159,45.428309999999996,12.331958,Spirito Santo,84,True
1004,5001,45.417992,12.368725,"Lido (S.M.E.) ""B""",87,True
1111,5031,45.438815999999996,12.319038,"P.le Roma (S. Chiara) ""G""",92,True
1865,5094,45.418144,12.368973,"Lido (S.M.E.) ""A""",93,False
1865,5618,45.430523,12.367644,Certosa (A Richiesta),93,False
1865,5619,45.439079,12.34966,Celestia (A Richiesta),93,False
1865,5715,45.439201000000004,12.357294,Bacini (A Richiesta),93,False
1043,5001,45.417992,12.368725,"Lido (S.M.E.) ""B""",95,False
1043,5050,45.429153,12.3268,Zattere DX,95,False
1043,5083,45.430534,12.320824,S. Basilio,95,False
1043,5085,45.446289,12.31978,Tre Archi,95,False
1043,5136,45.441829999999996,12.325078999999999,Riva de Biasio DX,95,False
1043,5159,45.428309999999996,12.331958,Spirito Santo,95,False
1010,5032,45.440937,12.322042,"Ferrovia ""B""",104,False
1010,5038,45.437584,12.335558,"Rialto ""D""",104,False
1668,5500,45.442341,12.329644,Casino' di Venezia,108,True
1668,5501,45.438666999999995,12.319465,P.le Roma,108,True
1669,5500,45.442341,12.329644,Casino' di Venezia,109,False
1669,5501,45.438666999999995,12.319465,P.le Roma,109,False
899,5028,45.439388,12.318463000000001,"P.le Roma (Parisi) ""E""",110,True
899,5089,45.440216,12.321242,"Ferrovia ""D""",110,True
2629,5004,45.42532,12.360782,Sant' Elena,113,True
2629,5014,45.433384000000004,12.342215,"S. Zaccaria (Danieli) ""E""",113,True
2629,5025,45.440308,12.306533,Tronchetto 'B'  DX,113,True
2629,5033,45.441016999999995,12.322206,"Ferrovia ""A""",113,True
2629,5035,45.442444,12.32882,S. Marcuola-Casino' DX,113,True
2629,5039,45.437428000000004,12.335405,"Rialto ""C""",113,True
2629,5043,45.435184,12.327917,S. Toma' SX,113,True
2629,5046,45.433479,12.3276,S. Samuele,113,True
2629,5047,45.431633000000005,12.328705000000001,Accademia SX,113,True
