SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,SILVIO TRENTIN,VENEZIA,VEEE84401G,VIA PENELLO 1,45.52699335,12.2369021141711,http://www.istitutocomprensivotrentin.gov.it,SCUOLA PRIMARIA,VEIC84400D,30174
True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,SILVIO TRENTIN,VENEZIA,VEIC84400D,VIA CAVALLETTO ,45.0527833,9.6914018,,ISTITUTO COMPRENSIVO,VEIC84400D,30174
True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,FRANCESCO QUERINI,VENEZIA,VEAA846012,VIA MONTEVERDI ,45.3669838,10.4250736,http://www.icquerini.it,SCUOLA INFANZIA,VEIC846005,30171
True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,FRANCESCO QUERINI,VENEZIA,VEIC846005,VIA CATALANI ,45.0742499,7.5713946,,ISTITUTO COMPRENSIVO,VEIC846005,30171
True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,FRANCESCO QUERINI,VENEZIA,VEAA846023,VIA PIRAGHETTO 10,45.4886074,12.2279898,http://www.icquerini.it,SCUOLA INFANZIA,VEIC846005,30170
True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,CRISTOFORO COLOMBO,VENEZIA,VEAA84701T,VIA IVANCICH ,45.4887338,12.199051400000002,http://www.comprensivocolombo.gov.it,SCUOLA INFANZIA,VEIC847001,30174
True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,CRISTOFORO COLOMBO,VENEZIA,VEAA84702V,VIA PERLAN ,45.4919594,12.212009599999998,http://www.comprensivocolombo.gov.it,SCUOLA INFANZIA,VEIC847001,30174
True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,CRISTOFORO COLOMBO,VENEZIA,VEMM847012,VIA DELL'EDERA 33,45.48283350000001,12.1925419,http://www.comprensivocolombo.gov.it,SCUOLA PRIMO GRADO,VEIC847001,30174
True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,CRISTOFORO COLOMBO,VENEZIA,VEIC847001,VIA BOSSO ,45.48099620000001,12.198472,,ISTITUTO COMPRENSIVO,VEIC847001,30174
True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,CRISTOFORO COLOMBO,VENEZIA,VEEE847035,VIA PERLAN ,45.4919594,12.212009599999998,http://www.comprensivocolombo.gov.it,SCUOLA PRIMARIA,VEIC847001,30174
True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,CRISTOFORO COLOMBO,VENEZIA,VEEE847013,VIA BOSSO ,45.48099620000001,12.198472,http://www.comprensivocolombo.gov.it,SCUOLA PRIMARIA,VEIC847001,30174
True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6,CRISTOFORO COLOMBO,VENEZIA,VEEE847024,VIA ASSEGGIANO 163,45.50029075,12.171889521836901,http://www.comprensivocolombo.gov.it,SCUOLA PRIMARIA,VEIC847001,30174
True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. F. GRIMANI,VENEZIA,VEIC870002,VIA CANAL ,46.7704914,9.060644,,ISTITUTO COMPRENSIVO,VEIC870002,30175
True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,I.C. F. GRIMANI,VENEZIA,VEAA87001V,PIAZZALE SIRTORI ,45.736579,9.330845,http://www.icgrimani.gov.it,SCUOLA INFANZIA,VEIC870002,30175
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. C.BASEGGIO,VENEZIA,VEEE87101X,VIA TRIESTE 203,45.477017,12.2099696,http://www.icbaseggio.gov.it,SCUOLA PRIMARIA,VEIC87100T,30175
